;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Dashboard_Trending,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,TM,,F,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Tag Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,TM\AccessGrpChkResponse,,F,M,*,F,D,L,0,100,0,1,0,0,,,,,,,0,,,,,,,
S,TM\AccessGrpChkResponseTxt,,F,M,*,F,,,,,,,,,,,,,82,,0,,,,,,,
A,TM\ActiveScreen,,F,M,*,F,D,L,0,100,0,1,0,0,,,,,,,0,,,,,,,
S,TM\AGTSUser,,F,M,*,F,,,,,,,,,,,,,82,,0,,,,,,,
S,TM\BiometricData,,F,M,*,F,,,,,,,,,,,,,82,,0,,,,,,,
A,TM\BiometricScans,,F,M,*,F,D,L,0,32767,0,1,0,0,,,,,,,0,,,,,,,
S,TM\Boot,,F,M,*,F,,,,,,,,,,,,,82,,0,,,,,,,
S,TM\CamCameraInput,,F,M,*,F,,,,,,,,,,,,,82,Camera Name,0,,,,,,,
S,TM\CamGroupInput,,F,M,*,F,,,,,,,,,,,,,82,Display Client Name,0,,,,,,,
A,TM\CamHInput,,F,M,*,F,D,L,-32768,32767,0,1,0,0,,,,,,,0,,,,,,,
S,TM\CamOverlayInput,,F,M,*,F,,,,,,,,,,,,,82,Overlay Name,0,,,,,,,
A,TM\CamWInput,,F,M,*,F,D,L,-32768,32767,0,1,0,0,,,,,,,0,,,,,,,
A,TM\CamXInput,,F,M,*,F,D,L,-32768,32767,0,1,0,0,,,,,,,0,,,,,,,
A,TM\CamYInput,,F,M,*,F,D,L,-32768,32767,0,1,0,0,,,,,,,0,,,,,,,
D,TM\ConnectRemoteTerm,,F,M,*,F,,,,,,,,,,Off,On,Off,,,0,,,,,,,
S,TM\ConnState,,F,M,*,F,,,,,,,,,,,,,82,,0,,,,,,,
